geoid,period,Health Care Center (/100k pop),HIV
17167,2012,3.4704322,8.4
17169,2012,0,0
17171,2012,0,75.61
17173,2012,0,0
17175,2012,8.2019578,0
17177,2012,0,8.52
17179,2012,0,2.94
17181,2012,8.2462254,22.67
17183,2012,2.2259764,4.95
17185,2012,0,0
17187,2012,0,0
17189,2012,0,0
17191,2012,6.947544,0
17193,2012,7.4104576,20.59
17195,2012,2.629622,6.91
17197,2012,0,6.5
17199,2012,5.99967,6
17201,2012,2.0269728,8.3
17203,2012,0,0
18001,2012,0,0
18003,2012,1.4898597,8.2
18005,2012,0,5.06
18007,2012,0,0
18009,2012,0,0
18011,2012,0,6.79
18013,2012,0,0
18015,2012,4.4615522,0
18017,2012,3.2199066,0
18019,2012,2.6731972,14
18021,2012,0,14.9
18023,2012,0,0
18025,2012,0,0
18027,2012,0,9.36
18029,2012,0,8.03
18031,2012,0,15.36
18033,2012,0,9.45
18035,2012,4.1280746,6.9
18037,2012,0,9.51
18039,2012,2.0019078,7
18041,2012,0,16.65
18043,2012,0,8
18045,2012,0,0
18047,2012,0,0
18049,2012,0,0
18051,2012,0,11.96
18053,2012,4.8039604,0
18055,2012,0,9.11
18057,2012,0,5.7
18059,2012,0,5.64
18061,2012,0,0
18063,2012,0,4.9
18065,2012,0,6.08
18067,2012,2.197285,0
18069,2012,0,0
18071,2012,3.0470322,9.28
18073,2012,0,11.96
18075,2012,0,18.72
18077,2012,0,12.29
18079,2012,0,0
18081,2012,3.3427364,2.79
18083,2012,0,10.49
18085,2012,0,5.15
18087,2012,0,0
18089,2012,2.5461238,13.5
18091,2012,1.89621592,7.5
18093,2012,0,8.68
18095,2012,2.477381,5.5
18097,2012,2.5551906,26.7
18099,2012,0,0
18101,2012,0,0
18103,2012,3.3110586,8.22
18105,2012,0,8
18107,2012,0,0
18109,2012,0,5.77
18111,2012,0,28.48
18113,2012,0,8.41
18115,2012,0,65.8
18117,2012,0,15.24
18119,2012,0,0
18121,2012,0,23.43
18123,2012,0,0
18125,2012,0,0
18127,2012,3.1075802,6.5
18129,2012,0,0
18131,2012,5.5207348,0
18133,2012,0,10.6
18135,2012,0,0
18137,2012,0,0
18139,2012,0,0
18141,2012,2.450973,15.9
18143,2012,0,16.81
18145,2012,0,0
