geoid,1980,1990,2000,2010,Sequence
06037265602,2,2,2,2,1
06037265700,2,2,2,2,1
06037267100,2,2,2,2,1
06037267200,2,2,2,2,1
06037267300,4,4,4,4,1
06037267402,2,2,2,2,1
06037267403,2,2,2,2,1
06037267404,2,2,2,2,1
06037267501,4,2,4,2,2
06037267502,4,2,2,2,0
06037267600,4,2,2,2,0
06037267700,4,4,4,2,0
06037267800,2,2,2,2,1
06037267901,2,2,2,2,1
06037267902,2,2,2,2,1
06037269000,2,2,2,2,1
06037269100,2,2,2,2,1
06037269300,2,2,2,2,1
06037269500,2,2,2,2,1
06037269601,0,0,4,4,0
06037269602,0,0,4,4,0
06037269700,3,3,4,3,2
06037269800,2,2,4,2,2
06037269903,2,2,4,4,0
06037269904,2,2,2,4,0
06037269906,2,4,4,4,0
06037269907,2,4,4,2,2
06037270100,4,4,4,4,1
06037270200,4,4,4,4,1
06037270300,0,0,0,3,0
06037271100,2,2,2,2,1
06037271200,3,2,2,4,2
06037271300,3,2,2,2,0
06037271400,3,2,2,2,0
06037271500,2,2,2,2,1
06037271600,2,2,2,2,1
06037271701,2,2,2,2,1
06037271702,2,2,2,4,0
06037271801,4,2,4,4,2
06037271802,4,4,4,4,1
06037271901,2,2,2,2,1
06037271902,2,2,2,2,1
06037272100,3,2,2,2,0
06037272201,4,4,4,2,0
06037272202,4,4,4,4,1
06037272301,3,2,3,2,2
06037272302,4,4,4,4,1
06037273100,3,2,2,2,0
06037273200,4,4,4,2,0
06037273300,4,4,4,2,0
06037273402,2,2,2,2,1
06037273502,2,2,2,2,1
06037273600,3,2,2,2,0
06037273700,3,3,2,2,0
06037273800,3,2,2,2,0
06037273902,2,2,2,2,1
06037274100,2,2,2,2,1
06037274202,2,2,2,2,1
06037275101,4,4,4,3,0
06037275102,4,4,4,4,1
06037275200,4,4,4,4,1
06037275302,2,2,2,2,1
06037275311,3,3,3,2,0
06037275400,3,3,3,2,0
06037275500,1,1,1,4,0
06037275602,4,3,3,2,2
06037275603,4,3,3,3,0
06037276000,3,2,2,2,0
06037276100,2,2,2,0,0
06037276400,3,2,2,2,0
06037276500,2,2,2,2,1
06037276601,2,2,2,2,1
06037276603,2,2,2,2,1
06037276604,2,2,2,2,1
06037277000,3,2,2,2,0
06037277100,3,3,3,3,3
06037277200,4,4,4,4,1
06037277400,3,4,0,0,2
06037278001,2,2,3,2,2
06037278102,2,2,2,2,1
06037291110,1,1,0,0,0
06037291120,1,1,1,1,1
06037291130,1,1,3,1,2
06037291210,3,4,1,1,2
06037291220,3,4,1,1,2
06037291300,3,3,3,3,3
06037292000,1,4,4,1,2
06037293201,4,4,4,1,0
06037293202,1,1,1,1,1
06037293301,3,3,3,3,3
06037293302,3,3,3,3,3
06037293304,3,4,4,4,0
06037293306,3,4,3,3,2
06037293307,3,4,3,4,2
06037294110,1,1,1,1,1
06037294120,1,1,1,1,1
06037294200,1,1,1,3,0
06037294301,1,1,1,3,0
06037294302,1,1,1,1,1
06037294410,1,1,4,3,2
06037294421,1,1,1,4,0
06037294510,1,1,1,1,1
06037294520,1,1,1,1,1
06037294610,1,1,1,1,1
06037294620,1,1,1,1,1
06037294701,1,1,1,1,1
06037294810,1,1,1,1,1
06037294820,1,1,1,1,1
06037294830,1,1,1,1,1
06037294900,1,1,1,1,1
06037295103,3,3,2,3,2
06037296210,1,1,1,1,1
06037296220,1,1,1,4,0
06037296300,4,3,3,3,0
