geoid,year,"% speaking other language at home, age 5+",% female-headed families with children,"Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income
6073007907,2000,18.36559964,9.282700622,243330.5106,38678.3712,80189.05686,36262.69965
6073007908,2000,18.36559898,9.282701022,243330.5053,38678.37147,80189.0573,36262.69861
6073007910,2000,13.73456787,6.239999874,43716.66064,55858.48997,45039.77504,41474.81413
6073008002,2000,11.04721672,5.974079784,39244.70755,59615.55692,77916.74383,48449.17182
6073008003,2000,12.455882,7.602338682,63159.31435,48285.88408,59322.65711,46915.94429
6073008006,2000,12.45588196,7.602338898,63159.31522,48285.8827,59322.6562,46915.94365
6073008101,2000,18.55847021,11.36094675,15520.46263,52191.52195,75877.81732,62773.02847
6073008102,2000,14.92811257,4.615384615,26634.49348,52205.31791,135085.5081,79321.29063
6073008200,2000,20.8675649,6.055646481,32765.42112,47998.92764,120714.7094,77696.12574
6073008301,2000,13.50411159,2.742857121,81051.30217,91398.28045,128474.9382,63236.57515
6073008303,2000,24.93491467,3.326996198,-9999,156380.0427,178720.4787,111874.2539
6073008305,2000,41.28453039,8.418367347,38801.15658,85649.50059,27540.45609,9720.638197
6073008306,2000,20.46632124,3.657262278,236971.9419,67255.33808,130933.944,49015.69039
6073008307,2000,15.64607499,5.653021442,36214.41281,138608.0783,89673.7841,55052.80546
6073008310,2000,24.25474255,2.684563758,-9999,140394.656,106056.4947,87691.30368
6073008311,2000,27.09149163,2.520045819,141083.0747,166191.7343,140833.8276,100219.4211
6073008312,2000,18.79145744,2.922823032,32984.95174,22156.89333,118251.367,93334.84056
6073008313,2000,27.28106373,3.924646782,111040.9775,117874.1198,61736.95136,81868.0261
6073008324,2000,16.89003503,5.351997235,44369.42864,104603.1059,140725.0597,75318.94144
6073008327,2000,21.15653041,8.616780045,154906.6335,67994.8019,118930.7481,63575.95374
6073008328,2000,16.98602651,4.41288391,-9999,185519.081,218389.5854,92299.59078
6073008329,2000,19.49700046,18.87159533,117940.3405,76661.42823,76074.90255,54389.21945
6073008330,2000,27.27942531,11.64522681,77602.31317,130187.0202,140682.556,57705.76987
6073008331,2000,19.3422083,10.72961373,-9999,119980.7639,182303.8467,51467.23369
6073008333,2000,25.21332232,6.865671642,62081.85053,86092.35113,181072.0641,69724.81613
6073008335,2000,27.95669317,3.487486314,106146.1639,110873.7673,129337.3183,38146.29308
6073008336,2000,15.47244094,4.335260116,207611.3654,85937.8363,107449.3567,39517.16726
6073008337,2000,26.48892777,5.364626774,149556.5575,141290.0211,101809.1287,36513.78536
6073008339,2000,36.21468927,6.722689076,36214.41281,36214.41281,22849.56999,30226.96323
6073008340,2000,29.51867722,5.551973484,105645.6329,69983.59642,94604.11873,60043.07126
6073008341,2000,31.39467593,4.620462046,275920.7153,56000.58837,68290.03559,54092.60617
6073008343,2000,44.57862282,14.65648855,68332.80308,30377.33926,53459.37129,28764.59075
6073008344,2000,21.14399601,6.928645057,141083.0747,67470.55433,108956.7788,43654.57777
6073008345,2000,23.14670003,6.273525721,25867.43772,89328.88493,63288.99763,50738.80664
6073008346,2000,36.3657354,2.739726027,-9999,108583.9158,118015.4985,53332.4484
6073008347,2000,36.0911271,6.457680251,123527.707,93369.72361,105825.6195,34630.63582
6073008348,2000,42.98428328,6.5830721,85163.88256,83853.26572,98881.09237,33611.11388
6073008349,2000,42.56906077,7.710280374,96448.98339,82528.85291,78851.08602,28669.39858
6073008350,2000,47.82145034,7.00843608,75877.81732,60357.35469,84625.92208,31103.00712
6073008351,2000,44.3221831,6.040268456,66135.10558,96166.16607,84385.33017,28003.05338
6073008352,2000,41.55695478,9.541062802,76453.10913,99637.23132,85978.43586,28650.08422
6073008353,2000,32.65817901,6.034482759,99281.29537,107520.2467,104928.9397,30795.35706
6073008354,2000,37.88175411,6.045156591,92165.33571,104472.7177,120024.911,43072.3879
6073008355,2000,45.02836668,5.056890013,96414.49348,102499.8944,95832.69784,31045.06406
